days_since_last_offense,speed_recorded,zone_type,weather_conditions,cumulative_active_demerit_points,past_fine_payment_delays_days,reoffended_within_180_days
148,66.91,urban,clear,16,4.81,1
217,99.43,urban,clear,1,3.6,1
162,90.06,highway,clear,30,3.54,1
286,75.4,highway,clear,22,10.6,0
364,90.38,residential,clear,14,2.02,0
291,54.78,residential,night,7,5.24,0
340,78.65,urban,clear,8,1.26,0
346,80.95,urban,fog,13,8.58,0
32,68.6,urban,fog,1,6.25,1
92,86.71,highway,rain,11,19.13,0
264,62.39,highway,clear,6,1.95,1
215,88.2,residential,fog,3,15.35,0
18,89.04,school_zone,rain,3,2.21,1
34,19.66,urban,rain,10,3.85,0
190,101.81,highway,night,11,1.49,0
225,17.05,highway,rain,10,18.97,0
61,65.68,highway,clear,21,6.97,0
62,98.51,urban,fog,16,7.03,0
47,71.65,urban,clear,5,2.4,0
206,48.68,urban,fog,30,0.35,0
2,56.13,urban,clear,22,3.72,0
209,98.54,school_zone,clear,14,3.15,0
174,39.57,urban,clear,1,0.74,1
170,100.58,highway,clear,28,3.93,1
248,76.9,highway,night,23,5.25,0
191,54.15,residential,clear,14,7.33,1
266,66.34,urban,rain,5,0.43,0
279,57.66,urban,clear,3,1.58,0
336,95.32,urban,night,8,2.48,0
292,92.65,urban,clear,7,10.92,0
189,43.62,urban,clear,6,10.78,0
180,69.93,school_zone,clear,12,6.7,1
86,60.74,urban,rain,1,3.87,1
219,103.87,urban,night,10,11.39,1
50,51.0,urban,night,27,6.1,1
340,110.08,school_zone,clear,26,10.96,1
309,77.33,residential,clear,0,6.93,0
43,54.76,school_zone,clear,21,0.88,1
287,64.45,highway,clear,30,0.35,0
42,61.97,school_zone,rain,17,3.55,0
263,52.51,highway,clear,12,9.34,0
32,79.9,urban,rain,15,3.12,1
178,53.44,highway,fog,6,12.93,1
240,34.39,school_zone,clear,12,8.75,0
266,70.41,urban,clear,29,12.16,0
153,41.94,highway,clear,18,3.63,0
337,62.96,highway,clear,13,2.09,0
283,59.82,highway,clear,3,1.8,0
76,60.58,urban,rain,28,7.42,1
245,118.02,highway,clear,5,0.97,1
267,79.13,residential,rain,22,1.05,0
122,82.91,urban,fog,9,2.96,0
270,42.47,urban,night,8,5.93,0
328,64.92,urban,rain,5,2.52,0
299,82.31,urban,clear,11,10.79,0
279,57.51,residential,clear,20,12.28,1
232,96.16,highway,clear,12,0.16,0
99,53.95,urban,night,0,7.03,0
291,72.27,urban,night,8,3.13,0
133,66.28,residential,clear,4,9.64,0
194,81.29,urban,clear,12,7.2,0
115,65.19,school_zone,clear,27,5.71,0
114,72.58,urban,clear,29,4.51,0
57,73.28,urban,night,30,1.05,1
351,63.31,highway,clear,3,20.99,0
54,87.7,urban,clear,15,1.56,1
31,82.77,highway,clear,1,15.46,1
342,76.23,urban,clear,15,8.24,0
203,69.39,school_zone,clear,17,3.27,1
160,93.93,school_zone,fog,23,2.86,0
269,73.28,school_zone,clear,10,1.0,0
140,71.87,urban,rain,1,5.15,1
46,80.09,school_zone,clear,14,0.95,0
267,111.93,residential,clear,13,11.23,0
64,51.19,urban,clear,19,6.16,1
202,93.4,urban,clear,3,4.89,0
347,40.14,school_zone,clear,19,5.4,0
342,82.35,urban,clear,12,6.35,0
132,109.5,highway,fog,22,3.79,0
285,87.77,school_zone,rain,30,4.22,1
224,81.41,urban,night,7,16.59,0
175,66.79,highway,clear,23,10.46,0
51,78.62,highway,rain,3,7.99,0
137,72.96,urban,rain,30,3.27,0
238,62.28,residential,clear,14,0.59,0
361,72.2,urban,clear,23,7.33,1
1,81.97,urban,clear,24,5.38,1
262,62.66,school_zone,fog,18,4.15,0
309,61.87,urban,clear,11,4.7,0
348,50.8,school_zone,clear,23,1.66,0
155,85.81,urban,night,14,2.18,0
43,88.91,highway,clear,20,10.48,1
99,82.63,urban,night,19,0.4,0
311,97.3,highway,fog,14,9.45,0
321,79.76,school_zone,fog,3,13.33,0
233,85.84,school_zone,fog,9,7.21,0
44,84.08,residential,clear,29,6.95,1
44,76.17,highway,rain,16,2.17,0
175,67.38,school_zone,fog,19,2.49,0
215,122.28,highway,rain,8,3.51,1
11,68.96,residential,clear,21,1.32,1
251,64.68,highway,clear,15,2.32,0
199,86.68,residential,clear,6,5.37,1
4,83.04,urban,clear,4,3.33,0
35,49.9,highway,rain,12,5.74,0
166,100.45,school_zone,fog,17,10.45,1
264,76.12,urban,fog,8,5.71,0
302,55.78,urban,rain,7,7.01,0
157,101.78,residential,clear,8,0.94,0
108,90.51,urban,clear,9,10.32,0
354,52.71,urban,clear,22,0.91,0
167,113.54,urban,clear,15,3.13,0
115,91.18,urban,clear,14,1.75,1
161,77.8,highway,clear,5,0.6,0
4,109.8,residential,clear,16,5.48,1
110,81.19,residential,rain,29,7.47,0
188,77.44,highway,clear,23,13.57,1
336,64.79,highway,clear,13,6.1,0
270,89.64,urban,clear,9,2.3,1
285,87.53,residential,rain,10,3.26,0
199,78.29,urban,rain,0,0.72,0
40,62.2,urban,clear,0,3.57,0
143,80.6,residential,clear,24,4.83,1
364,76.6,residential,night,26,7.23,1
16,51.33,urban,rain,30,8.71,1
321,48.56,highway,rain,19,7.06,1
250,89.3,highway,clear,28,2.08,1
103,25.96,urban,fog,12,1.54,1
284,82.11,urban,fog,7,8.27,1
306,68.44,urban,clear,7,0.57,0
15,104.16,highway,rain,7,18.14,0
38,68.13,urban,clear,23,2.51,0
243,91.19,highway,rain,0,11.33,1
365,70.06,urban,clear,29,2.95,1
8,80.27,residential,clear,24,7.6,1
243,92.74,highway,night,11,1.6,0
49,68.75,residential,fog,21,5.07,0
237,97.93,urban,clear,4,0.79,1
228,58.13,highway,night,13,6.35,0
33,83.89,school_zone,clear,3,1.57,0
249,96.45,urban,clear,3,1.84,0
328,91.2,urban,fog,0,3.41,1
316,116.33,urban,clear,24,4.04,1
10,62.73,urban,clear,23,7.24,1
90,50.42,urban,rain,27,6.72,1
88,58.11,urban,clear,30,5.49,1
165,91.21,urban,clear,29,9.42,0
52,87.96,highway,clear,30,6.58,1
312,80.05,urban,rain,0,6.94,0
284,55.54,urban,clear,24,1.82,0
295,93.34,highway,clear,22,9.94,1
72,53.51,urban,rain,5,9.09,1
5,101.18,urban,clear,4,5.7,0
333,135.15,urban,clear,30,8.86,1
105,85.33,urban,rain,27,4.76,0
240,89.66,highway,fog,10,14.04,1
332,68.14,urban,clear,2,5.3,0
13,41.8,urban,fog,10,4.63,1
2,65.95,residential,rain,0,6.61,1
1,56.14,residential,clear,21,16.07,0
57,49.06,urban,fog,11,3.03,0
18,112.45,urban,rain,1,6.29,0
300,83.46,highway,rain,30,3.23,0
221,85.59,school_zone,rain,25,4.63,0
358,71.82,school_zone,rain,28,2.3,1
293,74.54,urban,night,30,6.8,1
352,97.29,urban,rain,0,4.96,0
87,77.35,urban,fog,24,8.72,1
105,88.61,residential,rain,24,10.49,1
310,74.08,residential,fog,24,11.62,0
89,71.16,urban,night,8,3.34,0
20,49.86,highway,clear,12,6.62,0
244,38.45,urban,clear,28,12.14,1
293,72.77,highway,rain,2,2.28,1
354,79.13,residential,clear,19,5.39,0
339,52.28,highway,rain,24,2.42,0
44,77.31,urban,fog,24,15.92,1
282,79.08,highway,night,18,12.05,0
309,34.88,urban,clear,23,7.48,0
255,59.7,school_zone,rain,28,7.4,1
300,86.15,urban,clear,23,2.64,1
306,85.74,residential,clear,3,13.04,0
163,54.93,urban,clear,7,3.88,0
14,81.17,urban,clear,9,2.88,0
166,98.45,urban,clear,10,10.89,0
73,93.54,urban,rain,11,3.58,1
41,76.09,urban,rain,6,2.99,0
45,68.64,highway,clear,21,9.09,0
255,65.41,urban,clear,3,1.68,0
184,87.36,urban,clear,24,7.55,0
197,81.9,urban,night,20,5.43,1
272,90.59,urban,night,29,8.55,1
200,80.64,residential,clear,0,6.95,0
230,94.38,residential,clear,9,22.85,0
31,79.89,urban,clear,27,5.83,1
311,93.69,school_zone,rain,15,3.57,0
164,95.42,school_zone,clear,17,4.98,1
56,61.91,residential,clear,0,6.9,1
297,41.84,urban,clear,23,15.32,0
268,108.87,urban,clear,7,7.91,0
19,83.13,highway,clear,29,2.52,0
70,43.71,residential,clear,11,44.47,1
5,63.72,school_zone,rain,5,10.19,1
99,93.44,highway,clear,18,2.38,1
36,72.41,urban,clear,14,1.83,1
259,67.76,school_zone,rain,14,1.51,1
191,106.02,residential,clear,29,4.78,0
358,57.05,urban,fog,11,4.94,0
274,62.04,highway,night,12,2.83,0
223,82.23,urban,clear,19,1.29,0
186,85.81,highway,fog,5,1.87,0
19,87.93,highway,rain,25,8.02,1
25,96.22,school_zone,rain,7,3.94,1
225,81.97,residential,clear,7,2.08,0
1,87.79,urban,clear,0,5.42,1
15,72.82,urban,clear,10,6.23,1
80,79.25,urban,night,18,6.75,0
323,80.15,urban,rain,21,5.26,0
167,82.3,urban,clear,27,4.65,0
259,93.45,urban,clear,24,11.53,0
150,89.1,urban,clear,9,1.95,0
63,78.88,urban,clear,25,4.18,1
135,61.82,urban,rain,6,0.69,0
33,79.35,school_zone,clear,6,3.74,1
281,77.44,urban,fog,11,5.72,1
67,81.86,highway,rain,16,9.02,0
137,122.13,residential,rain,6,0.72,0
358,67.52,highway,fog,27,5.59,1
216,86.45,urban,clear,8,16.87,0
167,99.37,urban,rain,12,7.13,0
198,79.96,highway,rain,18,1.62,1
286,124.76,highway,clear,13,3.75,1
93,70.44,urban,clear,12,7.3,1
232,84.48,urban,clear,30,2.94,1
319,62.02,highway,clear,13,6.09,0
209,70.97,urban,clear,3,5.82,0
163,82.98,highway,clear,22,4.73,1
53,94.93,urban,rain,21,1.45,0
90,84.38,urban,clear,6,2.67,0
346,103.18,school_zone,clear,26,18.02,1
198,76.1,urban,clear,12,3.55,0
110,71.36,highway,clear,4,3.91,1
153,132.08,urban,night,5,3.9,1
211,85.88,urban,clear,22,8.87,1
196,63.61,residential,clear,6,4.08,0
256,64.11,urban,clear,14,4.81,1
94,59.15,urban,clear,22,5.59,1
237,96.73,residential,rain,26,9.58,1
162,70.71,school_zone,fog,15,4.83,0
344,80.55,highway,clear,28,5.25,1
57,76.73,urban,rain,9,3.07,1
54,92.63,urban,clear,27,6.2,1
168,61.07,highway,fog,7,7.56,0
186,56.49,urban,rain,1,7.94,0
252,82.49,urban,clear,22,16.19,1
147,90.02,school_zone,rain,23,2.5,1
334,84.65,urban,fog,28,4.99,0
173,61.81,urban,clear,28,4.1,1
47,91.55,urban,night,3,14.27,0
43,63.12,urban,fog,19,8.16,1
356,67.57,highway,clear,21,1.04,0
49,59.12,residential,fog,18,2.85,0
346,104.02,urban,rain,0,3.71,0
101,90.67,urban,clear,1,1.21,1
34,90.1,highway,clear,20,5.28,0
111,102.94,urban,fog,26,3.18,0
224,134.25,highway,rain,5,16.67,1
156,43.82,residential,clear,1,6.16,0
287,63.23,highway,clear,12,3.59,0
223,65.68,urban,clear,9,2.07,0
146,60.98,residential,night,30,4.66,1
232,56.45,urban,rain,28,13.45,1
355,72.01,residential,clear,17,4.14,0
150,53.67,highway,fog,29,4.69,0
56,84.7,highway,fog,7,10.51,1
149,79.03,residential,clear,30,6.03,0
307,87.62,highway,clear,13,8.74,1
79,88.15,urban,rain,14,6.48,1
347,90.06,urban,clear,1,6.22,0
215,70.53,highway,clear,5,0.98,0
220,120.42,highway,rain,6,1.81,1
116,82.69,urban,night,15,5.56,1
336,40.75,school_zone,clear,5,2.25,0
13,57.95,highway,fog,3,4.66,1
109,43.19,urban,night,18,1.65,1
153,78.35,urban,clear,27,10.57,0
174,75.56,urban,clear,2,2.5,1
173,68.63,urban,rain,17,2.07,1
54,118.22,urban,fog,29,1.3,1
82,88.98,urban,clear,12,7.87,1
34,92.52,urban,rain,5,4.66,0
209,59.38,urban,rain,2,10.3,0
128,58.02,highway,rain,29,3.09,1
207,78.74,urban,rain,12,1.76,1
215,81.46,residential,clear,3,4.49,1
256,40.87,residential,clear,26,11.74,1
200,74.39,highway,clear,24,0.95,0
237,78.28,residential,night,21,5.93,0
214,73.7,residential,night,2,6.38,1
238,61.73,urban,fog,2,13.07,1
225,67.21,school_zone,clear,6,2.34,0
115,74.46,urban,rain,4,0.88,0
90,79.82,highway,clear,16,3.35,0
288,90.1,highway,clear,12,8.65,0
125,99.62,urban,clear,23,4.89,1
200,72.11,urban,fog,3,6.88,0
72,68.88,residential,clear,22,1.87,1
157,86.75,urban,rain,28,3.94,1
193,90.22,urban,night,4,5.04,0
229,69.32,urban,rain,20,1.11,1
192,93.81,highway,clear,15,5.01,1
132,97.59,school_zone,night,2,3.64,0
352,103.83,school_zone,rain,9,25.91,1
187,113.57,urban,clear,24,4.74,1
295,60.67,urban,rain,26,13.56,0
269,78.28,urban,fog,11,6.84,0
204,78.23,highway,clear,3,4.3,0
324,76.04,school_zone,clear,7,12.21,0
46,65.01,school_zone,clear,26,1.62,1
337,48.29,urban,clear,17,3.29,0
311,79.85,highway,fog,13,9.02,1
184,62.63,urban,clear,0,0.41,0
268,79.72,highway,clear,24,4.62,1
190,62.12,highway,clear,14,4.59,0
98,56.01,highway,clear,16,5.78,0
292,82.69,highway,clear,26,3.97,1
90,81.02,residential,rain,17,8.76,1
115,89.59,urban,clear,28,2.45,1
190,121.72,urban,clear,17,9.64,1
306,83.55,urban,fog,10,1.82,1
140,87.7,highway,night,28,6.13,1
180,56.45,highway,clear,19,11.23,1
15,52.26,highway,clear,23,2.26,0
42,109.66,school_zone,clear,7,2.79,0
20,59.53,urban,clear,20,9.87,1
26,57.12,highway,clear,17,5.48,0
317,77.22,school_zone,night,3,0.89,0
308,76.2,urban,rain,7,5.65,1
300,59.95,urban,clear,28,7.73,0
20,71.9,urban,night,17,10.16,1
28,102.59,urban,clear,24,6.02,0
102,61.88,school_zone,clear,5,7.01,0
206,50.13,residential,clear,6,14.48,1
122,96.85,highway,clear,29,9.21,1
178,87.85,urban,fog,13,3.86,0
63,65.59,highway,clear,27,4.27,0
267,46.36,school_zone,rain,25,10.92,0
114,63.11,urban,clear,10,5.93,1
24,76.91,school_zone,night,29,5.29,0
271,101.31,urban,rain,24,3.76,1
330,57.27,urban,clear,3,10.63,0
5,76.31,urban,clear,2,2.38,0
159,91.5,urban,night,3,3.3,0
302,30.37,residential,clear,22,10.61,0
258,98.68,urban,clear,4,10.52,0
313,54.35,urban,fog,8,20.5,1
151,84.64,urban,clear,13,4.63,0
136,82.93,urban,clear,4,3.8,1
259,99.69,urban,clear,10,4.13,0
56,89.02,urban,clear,21,1.02,1
87,30.45,highway,clear,30,0.51,1
219,62.3,urban,clear,14,6.0,0
244,80.76,school_zone,clear,23,3.57,1
43,74.1,urban,clear,16,2.54,1
186,87.55,school_zone,clear,14,5.23,1
133,93.79,school_zone,night,16,6.11,0
183,90.17,urban,rain,29,4.38,1
350,73.71,urban,clear,1,4.47,1
28,41.07,residential,clear,15,3.54,0
364,68.89,highway,rain,1,8.15,0
164,86.33,highway,clear,27,3.11,0
282,56.19,urban,clear,18,2.07,0
155,90.63,urban,rain,1,3.41,0
113,96.17,highway,clear,19,5.8,1
282,80.54,residential,fog,13,8.51,1
251,16.72,urban,fog,1,16.41,1
52,52.44,school_zone,fog,30,5.25,0
258,115.72,highway,clear,11,13.68,1
275,67.07,urban,clear,0,2.89,0
141,38.32,urban,clear,18,2.46,1
338,102.7,urban,fog,11,6.78,0
234,78.27,urban,night,20,7.53,0
122,100.1,highway,night,5,5.66,0
3,83.54,urban,clear,25,26.3,0
247,87.17,urban,fog,13,3.03,1
76,85.26,highway,clear,13,11.95,1
276,91.95,highway,fog,24,2.52,1
192,123.55,highway,clear,16,7.96,0
170,97.42,highway,clear,0,5.08,0
59,46.39,urban,clear,17,5.95,1
260,86.93,highway,night,20,6.83,1
60,100.83,urban,clear,9,5.22,0
152,102.05,urban,clear,5,4.46,0
306,69.47,urban,clear,1,0.78,0
336,101.3,highway,clear,26,9.47,1
362,96.55,highway,night,0,1.53,0
350,129.45,urban,clear,18,3.61,0
203,63.0,residential,clear,25,6.28,1
73,67.85,school_zone,fog,10,1.82,0
307,71.88,urban,clear,6,4.46,0
293,68.2,highway,clear,22,8.72,0
362,60.2,urban,clear,19,3.54,0
238,22.75,residential,clear,0,4.52,0
51,69.31,urban,clear,17,2.19,0
184,85.39,urban,clear,0,3.89,0
164,68.14,urban,clear,12,1.57,0
308,116.71,urban,rain,9,5.74,0
143,78.27,highway,fog,25,1.22,0
120,103.82,highway,fog,30,2.93,1
29,83.23,urban,clear,21,5.11,1
305,94.53,highway,clear,22,4.22,1
276,83.58,residential,night,0,6.54,0
15,105.38,school_zone,fog,1,4.53,0
158,79.12,highway,clear,24,0.78,1
175,87.92,urban,clear,13,1.79,1
171,85.33,urban,clear,15,4.93,1
336,72.23,residential,clear,21,10.37,1
55,86.1,school_zone,clear,10,9.13,0
112,122.69,highway,clear,21,25.84,0
66,72.59,residential,night,22,3.22,0
89,86.39,urban,rain,7,8.52,0
331,103.16,highway,rain,21,8.1,1
344,100.81,urban,clear,5,14.03,0
16,78.23,urban,fog,9,11.54,0
231,30.33,highway,rain,24,6.06,1
85,88.33,urban,clear,30,7.56,1
70,33.61,residential,rain,2,6.56,1
106,107.4,urban,rain,20,4.78,0
71,81.39,school_zone,fog,17,7.17,1
179,97.99,school_zone,clear,18,5.61,0
364,59.96,highway,fog,24,5.43,0
214,46.95,residential,clear,2,14.47,0
264,83.22,urban,clear,22,6.15,1
180,77.33,urban,clear,8,5.25,0
5,68.17,urban,clear,4,4.33,0
30,79.69,urban,clear,13,4.04,1
98,133.35,residential,clear,0,1.74,0
89,94.69,highway,rain,19,4.79,1
307,98.99,urban,clear,17,10.74,1
308,94.88,urban,night,15,3.14,1
312,107.59,highway,clear,0,0.44,0
233,74.2,school_zone,rain,23,6.98,1
203,36.9,urban,night,1,5.76,0
237,74.23,school_zone,fog,8,14.3,1
148,94.23,highway,rain,12,2.86,0
245,58.6,school_zone,rain,21,1.55,0
290,74.47,urban,clear,12,4.15,0
279,64.16,highway,clear,25,3.64,1
224,108.04,urban,clear,28,1.01,1
21,92.99,urban,clear,23,5.29,1
265,91.03,school_zone,clear,1,3.4,0
134,90.43,highway,clear,23,12.55,1
272,77.26,urban,night,6,5.35,0
197,81.95,residential,fog,27,2.56,0
322,54.3,urban,fog,30,4.85,1
123,34.27,highway,rain,2,5.68,0
340,81.0,residential,clear,3,7.47,0
309,84.48,highway,clear,21,5.04,0
121,102.19,school_zone,rain,4,18.13,1
176,109.43,highway,rain,30,1.69,0
194,109.4,school_zone,clear,16,3.35,0
281,58.04,highway,clear,17,2.57,0
252,70.95,highway,clear,26,3.78,1
311,87.61,urban,clear,6,6.2,0
135,128.64,school_zone,clear,17,5.89,1
184,107.6,urban,clear,30,7.34,0
157,100.39,residential,rain,0,5.33,0
332,70.24,urban,night,5,5.57,0
111,60.34,urban,clear,4,5.41,1
214,93.78,residential,rain,10,3.5,0
43,55.99,urban,fog,4,3.29,0
311,73.23,urban,clear,5,2.52,0
140,75.7,school_zone,rain,26,7.62,1
124,109.86,urban,clear,14,0.56,1
213,70.91,urban,rain,11,5.48,0
182,29.22,highway,clear,12,8.63,0
310,88.09,urban,night,30,10.24,1
194,64.02,urban,night,15,0.36,1
189,78.85,urban,clear,14,3.59,1
38,76.27,urban,clear,28,2.65,1
8,72.53,urban,clear,1,3.35,1
145,93.81,urban,fog,14,11.72,0
365,47.34,highway,rain,23,2.67,0
335,67.66,highway,clear,15,8.62,0
230,91.68,urban,fog,26,5.54,1
230,65.72,urban,clear,27,3.23,1
143,45.82,residential,clear,10,2.96,1
64,91.37,highway,clear,25,5.97,1
3,100.46,urban,clear,7,4.66,0
124,77.1,highway,clear,7,0.93,0
115,38.78,urban,clear,30,2.15,1
70,92.12,school_zone,clear,0,6.08,0
94,44.8,residential,night,10,1.61,0
9,84.18,residential,clear,19,9.48,1
222,60.25,urban,night,12,1.19,0
339,54.8,urban,rain,26,3.98,0
252,69.16,urban,fog,7,7.79,1
164,74.33,urban,clear,17,1.99,1
153,65.12,urban,fog,3,1.51,0
112,89.77,highway,clear,6,6.82,1
52,69.08,urban,clear,5,8.81,0
219,97.6,residential,clear,22,4.2,1
207,83.62,urban,clear,6,3.51,0
2,64.05,urban,night,20,1.14,1
152,60.68,residential,night,10,5.17,0
101,45.05,school_zone,fog,17,0.77,0
62,83.81,urban,clear,27,11.83,0
257,70.91,highway,fog,26,4.37,1
192,30.56,urban,rain,0,2.19,1
231,67.29,urban,clear,24,2.94,1
261,59.98,highway,clear,29,5.47,1
359,109.51,urban,rain,20,3.36,0
293,43.94,highway,clear,5,4.82,0
227,49.17,urban,clear,20,1.91,0
321,100.2,highway,rain,19,10.38,1
174,105.14,school_zone,clear,20,2.99,1
360,63.1,urban,clear,13,0.52,0
278,65.36,urban,clear,16,3.6,1
238,90.32,urban,rain,20,2.62,1
330,31.46,school_zone,night,14,9.91,1
188,40.78,highway,fog,23,2.2,0
263,72.39,school_zone,rain,21,3.32,1
104,109.0,urban,rain,9,5.58,1
352,69.29,urban,rain,18,7.38,1
228,80.02,highway,clear,23,12.36,1
286,100.68,urban,clear,15,2.36,0
168,120.14,school_zone,rain,22,11.45,0
317,66.46,urban,rain,3,9.65,0
27,77.66,urban,clear,11,2.58,1
41,114.44,highway,fog,21,2.32,1
185,47.56,highway,rain,27,6.49,0
268,98.55,highway,clear,20,4.73,0
296,57.63,urban,clear,20,6.48,0
161,80.05,residential,clear,10,3.7,0
237,73.15,school_zone,clear,21,5.1,0
202,58.84,residential,clear,11,4.39,0
351,58.34,highway,clear,1,6.41,0
239,83.53,highway,clear,7,2.25,0
152,97.91,highway,clear,18,5.39,0
354,75.41,urban,fog,29,12.19,1
39,79.4,urban,fog,15,11.73,1
360,89.42,highway,clear,26,5.86,1
56,58.57,urban,clear,24,2.21,1
105,92.79,urban,clear,17,16.19,0
300,94.39,residential,clear,24,6.42,0
268,130.07,urban,clear,12,15.14,1
355,70.48,highway,clear,13,6.61,0
274,68.84,highway,clear,22,0.3,1
233,93.38,urban,night,19,16.12,1
126,94.38,residential,clear,16,8.73,0
1,67.3,urban,fog,13,4.95,1
45,69.94,residential,clear,30,0.86,1
108,88.82,school_zone,clear,2,9.4,0
14,61.45,urban,night,1,6.56,0
185,69.79,urban,clear,14,19.2,0
284,79.79,urban,rain,1,14.15,0
352,97.92,urban,night,10,14.85,1
179,65.91,urban,rain,17,5.75,1
320,41.15,residential,clear,12,5.56,0
360,39.67,urban,clear,6,6.62,0
314,52.81,school_zone,clear,8,2.83,0
170,51.74,urban,clear,18,5.06,1
119,74.91,residential,clear,29,4.31,0
357,54.22,urban,fog,24,11.23,1
88,63.94,urban,rain,16,12.81,0
150,62.52,highway,clear,4,7.96,0
27,69.19,urban,clear,7,2.44,0
290,104.45,school_zone,rain,13,16.8,1
237,91.24,urban,night,7,9.37,0
31,78.32,highway,clear,21,6.29,1
81,68.78,highway,clear,11,7.43,0
203,69.34,highway,fog,25,1.38,0
197,84.55,urban,fog,8,4.32,1
293,89.68,urban,night,15,11.89,1
97,59.85,urban,clear,22,1.31,1
338,78.73,urban,clear,6,1.27,0
162,37.37,urban,clear,23,9.41,1
301,82.23,residential,clear,18,7.06,1
87,93.24,highway,fog,20,1.33,1
13,72.4,highway,clear,14,4.02,0
20,114.33,urban,rain,28,6.29,1
136,60.38,urban,night,23,5.75,0
348,82.35,highway,night,5,6.65,1
17,77.28,urban,rain,17,3.78,1
135,75.99,urban,night,28,5.97,0
39,75.71,highway,clear,8,7.95,0
340,80.14,highway,clear,16,7.52,1
247,94.96,residential,clear,23,3.87,1
279,105.55,urban,night,8,8.47,0
261,77.95,highway,night,16,2.2,0
240,94.31,urban,clear,17,2.94,1
283,63.96,urban,clear,5,9.4,1
2,93.32,school_zone,clear,5,8.35,0
316,62.76,urban,clear,17,4.16,1
270,99.81,highway,fog,5,2.89,0
270,122.21,urban,clear,29,3.22,1
143,75.56,urban,fog,16,7.7,0
293,34.15,residential,rain,21,6.71,0
139,67.04,urban,clear,12,2.74,0
17,102.64,school_zone,clear,9,8.31,0
332,89.06,urban,night,15,4.01,0
85,82.98,residential,rain,22,2.26,1
37,98.17,urban,clear,12,3.5,0
227,87.69,urban,clear,8,5.36,1
85,102.35,school_zone,night,4,8.11,1
314,96.39,urban,fog,16,7.74,0
162,108.43,urban,fog,21,4.63,0
1,85.18,residential,rain,16,5.83,1
348,96.11,highway,fog,7,4.33,0
188,71.86,highway,clear,7,2.74,1
96,65.97,highway,rain,11,4.76,0
247,112.14,school_zone,clear,10,0.86,1
194,82.32,residential,rain,6,12.97,0
10,94.1,highway,night,29,5.72,1
278,80.47,urban,night,10,6.9,0
146,66.27,urban,clear,7,2.84,0
256,78.22,highway,rain,18,5.69,0
327,106.72,school_zone,fog,24,6.4,1
223,89.1,highway,night,14,4.17,0
245,43.77,urban,fog,20,4.34,1
93,73.7,urban,clear,2,1.6,0
86,113.65,highway,clear,16,15.79,1
151,73.72,school_zone,fog,2,2.81,0
312,41.99,urban,fog,4,3.12,0
191,115.86,highway,rain,18,13.52,1
127,91.65,school_zone,rain,6,7.13,1
285,76.6,residential,clear,1,8.15,1
312,70.57,urban,clear,5,1.5,0
330,99.65,residential,fog,23,5.64,1
109,67.16,highway,clear,18,1.51,0
259,100.97,school_zone,rain,11,2.47,0
216,88.84,urban,rain,30,17.3,1
164,82.89,highway,fog,11,2.09,0
145,80.91,highway,clear,27,7.89,1
41,74.5,urban,rain,10,2.27,0
100,98.91,urban,clear,0,2.52,0
201,60.69,highway,clear,3,24.27,0
324,45.56,highway,clear,8,4.65,0
317,90.29,urban,clear,5,1.39,1
68,90.62,urban,night,4,8.12,1
248,87.6,urban,night,11,11.33,0
31,86.15,residential,clear,30,8.64,1
247,71.59,residential,fog,6,4.34,0
125,93.75,urban,clear,7,4.46,1
164,77.09,urban,rain,30,3.28,1
262,68.26,urban,fog,6,1.87,0
155,71.76,highway,rain,25,6.31,0
295,118.41,residential,clear,19,4.18,0
195,43.3,highway,clear,28,1.54,1
365,88.0,urban,clear,17,4.74,1
233,44.42,urban,night,18,2.82,1
108,75.84,urban,rain,7,6.08,0
283,69.33,school_zone,clear,17,5.65,0
149,36.3,highway,clear,20,3.74,1
195,85.78,highway,night,30,4.91,1
50,70.4,urban,clear,3,5.23,0
43,36.02,residential,rain,4,9.4,0
210,94.79,urban,rain,0,4.77,0
68,106.7,school_zone,clear,24,3.34,0
365,107.8,residential,clear,2,4.04,1
313,85.18,highway,clear,28,15.02,0
256,78.92,residential,clear,11,2.34,0
268,104.56,urban,rain,8,4.24,0
217,111.65,highway,fog,30,4.19,1
22,100.67,urban,clear,22,4.33,1
143,59.17,highway,clear,16,1.81,0
181,82.03,urban,clear,27,4.02,0
334,86.79,urban,clear,23,3.21,0
80,41.81,urban,fog,19,6.06,1
181,87.39,urban,fog,9,10.32,0
125,123.46,highway,fog,30,6.4,0
49,90.8,highway,clear,22,5.37,0
37,107.47,urban,rain,29,6.85,1
133,81.66,residential,clear,29,5.74,1
30,76.54,residential,night,17,4.88,0
24,85.63,urban,rain,11,9.16,1
128,61.68,urban,night,29,3.93,1
73,58.72,highway,clear,30,1.79,0
203,103.33,school_zone,clear,3,3.12,1
6,105.45,urban,fog,19,2.8,1
110,58.18,school_zone,clear,18,17.71,0
165,97.36,urban,rain,23,10.73,1
352,76.26,urban,clear,30,5.42,0
232,84.8,school_zone,night,7,2.86,0
322,87.2,highway,clear,30,9.09,1
125,97.89,school_zone,night,19,5.27,1
164,79.65,urban,clear,2,3.94,1
153,106.2,urban,clear,15,5.3,0
324,84.19,urban,clear,4,4.02,0
351,90.48,urban,clear,29,6.79,1
352,61.33,urban,night,23,1.64,1
275,121.17,highway,night,28,6.76,1
